,match_date,match_hour,week,country,league,venue,team,gf,ga,opponent,result,goal_diff
0,2024-08-17,14,1,England,Premier League,Home,Arsenal,2,0,Wolverhampton,1,2
1,2024-08-24,16,2,England,Premier League,Away,Arsenal,2,0,Aston Villa,1,2
2,2024-08-31,11,3,England,Premier League,Home,Arsenal,1,1,Brighton Hove,2,0
3,2024-09-15,13,4,England,Premier League,Away,Arsenal,1,0,Tottenham,1,1
4,2024-09-22,15,5,England,Premier League,Away,Arsenal,2,2,Man City,2,0
5,2024-09-28,14,6,England,Premier League,Home,Arsenal,4,2,Leicester City,1,2
6,2024-10-05,14,7,England,Premier League,Home,Arsenal,3,1,Southampton,1,2
7,2024-10-19,16,8,England,Premier League,Away,Arsenal,0,2,Bournemouth,0,-2
8,2024-10-27,16,9,England,Premier League,Home,Arsenal,2,2,Liverpool,2,0
9,2024-11-02,12,10,England,Premier League,Away,Arsenal,0,1,Newcastle,0,-1
10,2024-11-10,16,11,England,Premier League,Away,Arsenal,1,1,Chelsea,2,0
11,2024-11-23,15,12,England,Premier League,Home,Arsenal,3,0,Nottingham,1,3
12,2024-11-30,17,13,England,Premier League,Away,Arsenal,5,2,West Ham,1,3
13,2024-12-04,20,14,England,Premier League,Home,Arsenal,2,0,Man United,1,2
14,2024-12-08,14,15,England,Premier League,Away,Arsenal,1,1,Fulham,2,0
15,2024-12-14,15,16,England,Premier League,Home,Arsenal,0,0,Everton,2,0
16,2024-12-21,17,17,England,Premier League,Away,Arsenal,5,1,Crystal Palace,1,4
17,2024-12-27,20,18,England,Premier League,Home,Arsenal,1,0,Ipswich Town,1,1
18,2025-01-01,17,19,England,Premier League,Away,Arsenal,3,1,Brentford,1,2
19,2025-01-04,17,20,England,Premier League,Away,Arsenal,1,1,Brighton Hove,2,0
20,2025-01-15,20,21,England,Premier League,Home,Arsenal,2,1,Tottenham,1,1
21,2025-01-18,17,22,England,Premier League,Home,Arsenal,2,2,Aston Villa,2,0
22,2025-01-25,15,23,England,Premier League,Away,Arsenal,1,0,Wolverhampton,1,1
23,2025-02-02,16,24,England,Premier League,Home,Arsenal,5,1,Man City,1,4
24,2025-02-15,12,25,England,Premier League,Away,Arsenal,2,0,Leicester City,1,2
25,2025-02-22,15,26,England,Premier League,Home,Arsenal,0,1,West Ham,0,-1
26,2025-02-26,19,27,England,Premier League,Away,Arsenal,0,0,Nottingham,2,0
27,2025-03-09,16,28,England,Premier League,Away,Arsenal,1,1,Man United,2,0
28,2025-03-16,13,29,England,Premier League,Home,Arsenal,1,0,Chelsea,1,1
29,2025-04-01,18,30,England,Premier League,Home,Arsenal,2,1,Fulham,1,1
30,2025-04-05,11,31,England,Premier League,Away,Arsenal,1,1,Everton,2,0
31,2025-04-12,16,32,England,Premier League,Home,Arsenal,1,1,Brentford,2,0
32,2025-04-20,13,33,England,Premier League,Away,Arsenal,4,0,Ipswich Town,1,4
33,2025-04-23,19,34,England,Premier League,Home,Arsenal,2,2,Crystal Palace,2,0
34,2025-05-03,16,35,England,Premier League,Home,Arsenal,1,2,Bournemouth,0,-1
35,2025-05-11,15,36,England,Premier League,Away,Arsenal,2,2,Liverpool,2,0
36,2025-05-18,15,37,England,Premier League,Home,Arsenal,1,0,Newcastle,1,1
37,2025-05-25,15,38,England,Premier League,Away,Arsenal,2,1,Southampton,1,1
38,2024-08-17,16,1,England,Premier League,Away,Aston Villa,2,1,West Ham,1,1
39,2024-08-24,16,2,England,Premier League,Home,Aston Villa,0,2,Arsenal,0,-2
40,2024-08-31,14,3,England,Premier League,Away,Aston Villa,2,1,Leicester City,1,1
41,2024-09-14,16,4,England,Premier League,Home,Aston Villa,3,2,Everton,1,1
42,2024-09-21,14,5,England,Premier League,Home,Aston Villa,3,1,Wolverhampton,1,2
43,2024-09-29,13,6,England,Premier League,Away,Aston Villa,2,2,Ipswich Town,2,0
44,2024-10-06,13,7,England,Premier League,Home,Aston Villa,0,0,Man United,2,0
45,2024-10-19,14,8,England,Premier League,Away,Aston Villa,3,1,Fulham,1,2
46,2024-10-26,14,9,England,Premier League,Home,Aston Villa,1,1,Bournemouth,2,0
47,2024-11-03,14,10,England,Premier League,Away,Aston Villa,1,4,Tottenham,0,-3
48,2024-11-09,20,11,England,Premier League,Away,Aston Villa,0,2,Liverpool,0,-2
49,2024-11-23,15,12,England,Premier League,Home,Aston Villa,2,2,Crystal Palace,2,0
50,2024-12-01,13,13,England,Premier League,Away,Aston Villa,0,3,Chelsea,0,-3
51,2024-12-04,20,14,England,Premier League,Home,Aston Villa,3,1,Brentford,1,2
52,2024-12-07,15,15,England,Premier League,Home,Aston Villa,1,0,Southampton,1,1
53,2024-12-14,17,16,England,Premier League,Away,Aston Villa,1,2,Nottingham,0,-1
54,2024-12-21,12,17,England,Premier League,Home,Aston Villa,2,1,Man City,1,1
55,2024-12-26,15,18,England,Premier League,Away,Aston Villa,0,3,Newcastle,0,-3
56,2024-12-30,19,19,England,Premier League,Home,Aston Villa,2,2,Brighton Hove,2,0
57,2025-01-04,15,20,England,Premier League,Home,Aston Villa,2,1,Leicester City,1,1
58,2025-01-15,19,21,England,Premier League,Away,Aston Villa,1,0,Everton,1,1
59,2025-01-18,17,22,England,Premier League,Away,Aston Villa,2,2,Arsenal,2,0
60,2025-01-26,16,23,England,Premier League,Home,Aston Villa,1,1,West Ham,2,0
61,2025-02-01,17,24,England,Premier League,Away,Aston Villa,0,2,Wolverhampton,0,-2
62,2025-02-15,15,25,England,Premier League,Home,Aston Villa,1,1,Ipswich Town,2,0
63,2025-02-19,19,29,England,Premier League,Home,Aston Villa,2,2,Liverpool,2,0
64,2025-02-22,17,26,England,Premier League,Home,Aston Villa,2,1,Chelsea,1,1
65,2025-02-25,19,27,England,Premier League,Away,Aston Villa,1,4,Crystal Palace,0,-3
66,2025-03-08,17,28,England,Premier League,Away,Aston Villa,1,0,Brentford,1,1
67,2025-04-02,18,30,England,Premier League,Away,Aston Villa,3,0,Brighton Hove,1,3
68,2025-04-05,16,31,England,Premier League,Home,Aston Villa,2,1,Nottingham,1,1
69,2025-04-12,14,32,England,Premier League,Away,Aston Villa,3,0,Southampton,1,3
70,2025-04-19,16,33,England,Premier League,Home,Aston Villa,4,1,Newcastle,1,3
71,2025-04-22,19,34,England,Premier League,Away,Aston Villa,1,2,Man City,0,-1
72,2025-05-03,11,35,England,Premier League,Home,Aston Villa,1,0,Fulham,1,1
73,2025-05-10,16,36,England,Premier League,Away,Aston Villa,1,0,Bournemouth,1,1
74,2025-05-16,18,37,England,Premier League,Home,Aston Villa,2,0,Tottenham,1,2
75,2025-05-25,15,38,England,Premier League,Away,Aston Villa,0,2,Man United,0,-2
76,2024-08-18,15,1,England,Premier League,Home,Chelsea,0,2,Man City,0,-2
