,match_week,match_date,match_hour,league,home_id,home_name,away_id,away_name,winner,home_goals,away_goals
0,1,2024-08-17,14,Premier League,57,Arsenal,76,Wolverhampton,HOME_TEAM,2,0
1,2,2024-08-24,16,Premier League,58,Aston Villa,57,Arsenal,AWAY_TEAM,0,2
2,3,2024-08-31,11,Premier League,57,Arsenal,397,Brighton Hove,DRAW,1,1
3,4,2024-09-15,13,Premier League,73,Tottenham,57,Arsenal,AWAY_TEAM,0,1
4,5,2024-09-22,15,Premier League,65,Man City,57,Arsenal,DRAW,2,2
5,6,2024-09-28,14,Premier League,57,Arsenal,338,Leicester City,HOME_TEAM,4,2
6,7,2024-10-05,14,Premier League,57,Arsenal,340,Southampton,HOME_TEAM,3,1
7,8,2024-10-19,16,Premier League,1044,Bournemouth,57,Arsenal,HOME_TEAM,2,0
8,9,2024-10-27,16,Premier League,57,Arsenal,64,Liverpool,DRAW,2,2
9,10,2024-11-02,12,Premier League,67,Newcastle,57,Arsenal,HOME_TEAM,1,0
10,11,2024-11-10,16,Premier League,61,Chelsea,57,Arsenal,DRAW,1,1
11,12,2024-11-23,15,Premier League,57,Arsenal,351,Nottingham,HOME_TEAM,3,0
12,13,2024-11-30,17,Premier League,563,West Ham,57,Arsenal,AWAY_TEAM,2,5
13,14,2024-12-04,20,Premier League,57,Arsenal,66,Man United,HOME_TEAM,2,0
14,15,2024-12-08,14,Premier League,63,Fulham,57,Arsenal,DRAW,1,1
15,16,2024-12-14,15,Premier League,57,Arsenal,62,Everton,DRAW,0,0
16,17,2024-12-21,17,Premier League,354,Crystal Palace,57,Arsenal,AWAY_TEAM,1,5
17,18,2024-12-27,20,Premier League,57,Arsenal,349,Ipswich Town,HOME_TEAM,1,0
18,19,2025-01-01,17,Premier League,402,Brentford,57,Arsenal,AWAY_TEAM,1,3
19,20,2025-01-04,17,Premier League,397,Brighton Hove,57,Arsenal,DRAW,1,1
20,21,2025-01-15,20,Premier League,57,Arsenal,73,Tottenham,HOME_TEAM,2,1
21,22,2025-01-18,17,Premier League,57,Arsenal,58,Aston Villa,DRAW,2,2
22,23,2025-01-25,15,Premier League,76,Wolverhampton,57,Arsenal,AWAY_TEAM,0,1
23,24,2025-02-02,16,Premier League,57,Arsenal,65,Man City,HOME_TEAM,5,1
24,25,2025-02-15,12,Premier League,338,Leicester City,57,Arsenal,AWAY_TEAM,0,2
25,26,2025-02-22,15,Premier League,57,Arsenal,563,West Ham,AWAY_TEAM,0,1
26,27,2025-02-26,19,Premier League,351,Nottingham,57,Arsenal,DRAW,0,0
