match_date,day,match_hour,week,country,season,league,venue,team,gf,ga,opponent,result,goal_diff
2024-08-17,Saturday,14,1,England,2024/2025,Premier League,Home,Arsenal,2,0,Wolverhampton,W,2
2024-08-24,Saturday,16,2,England,2024/2025,Premier League,Away,Arsenal,2,0,Aston Villa,W,2
2024-08-31,Saturday,11,3,England,2024/2025,Premier League,Home,Arsenal,1,1,Brighton Hove,D,0
2024-09-15,Sunday,13,4,England,2024/2025,Premier League,Away,Arsenal,1,0,Tottenham,W,1
2024-09-22,Sunday,15,5,England,2024/2025,Premier League,Away,Arsenal,2,2,Man City,D,0
2024-09-28,Saturday,14,6,England,2024/2025,Premier League,Home,Arsenal,4,2,Leicester City,W,2
2024-10-05,Saturday,14,7,England,2024/2025,Premier League,Home,Arsenal,3,1,Southampton,W,2
2024-10-19,Saturday,16,8,England,2024/2025,Premier League,Away,Arsenal,0,2,Bournemouth,L,-2
2024-10-27,Sunday,16,9,England,2024/2025,Premier League,Home,Arsenal,2,2,Liverpool,D,0
2024-11-02,Saturday,12,10,England,2024/2025,Premier League,Away,Arsenal,0,1,Newcastle,L,-1
2024-11-10,Sunday,16,11,England,2024/2025,Premier League,Away,Arsenal,1,1,Chelsea,D,0
2024-11-23,Saturday,15,12,England,2024/2025,Premier League,Home,Arsenal,3,0,Nottingham,W,3
2024-11-30,Saturday,17,13,England,2024/2025,Premier League,Away,Arsenal,5,2,West Ham,W,3
2024-12-04,Wednesday,20,14,England,2024/2025,Premier League,Home,Arsenal,2,0,Man United,W,2
2024-12-08,Sunday,14,15,England,2024/2025,Premier League,Away,Arsenal,1,1,Fulham,D,0
2024-12-14,Saturday,15,16,England,2024/2025,Premier League,Home,Arsenal,0,0,Everton,D,0
2024-12-21,Saturday,17,17,England,2024/2025,Premier League,Away,Arsenal,5,1,Crystal Palace,W,4
2024-12-27,Friday,20,18,England,2024/2025,Premier League,Home,Arsenal,1,0,Ipswich Town,W,1
2025-01-01,Wednesday,17,19,England,2024/2025,Premier League,Away,Arsenal,3,1,Brentford,W,2
2025-01-04,Saturday,17,20,England,2024/2025,Premier League,Away,Arsenal,1,1,Brighton Hove,D,0
2025-01-15,Wednesday,20,21,England,2024/2025,Premier League,Home,Arsenal,2,1,Tottenham,W,1
2025-01-18,Saturday,17,22,England,2024/2025,Premier League,Home,Arsenal,2,2,Aston Villa,D,0
2025-01-25,Saturday,15,23,England,2024/2025,Premier League,Away,Arsenal,1,0,Wolverhampton,W,1
2025-02-02,Sunday,16,24,England,2024/2025,Premier League,Home,Arsenal,5,1,Man City,W,4
2025-02-15,Saturday,12,25,England,2024/2025,Premier League,Away,Arsenal,2,0,Leicester City,W,2
2025-02-22,Saturday,15,26,England,2024/2025,Premier League,Home,Arsenal,0,1,West Ham,L,-1
2025-02-26,Wednesday,19,27,England,2024/2025,Premier League,Away,Arsenal,0,0,Nottingham,D,0
2025-03-09,Sunday,16,28,England,2024/2025,Premier League,Away,Arsenal,1,1,Man United,D,0
2025-03-16,Sunday,13,29,England,2024/2025,Premier League,Home,Arsenal,1,0,Chelsea,W,1
2025-04-01,Tuesday,18,30,England,2024/2025,Premier League,Home,Arsenal,2,1,Fulham,W,1
2025-04-05,Saturday,11,31,England,2024/2025,Premier League,Away,Arsenal,1,1,Everton,D,0
2025-04-12,Saturday,16,32,England,2024/2025,Premier League,Home,Arsenal,1,1,Brentford,D,0
2025-04-20,Sunday,13,33,England,2024/2025,Premier League,Away,Arsenal,4,0,Ipswich Town,W,4
2025-04-23,Wednesday,19,34,England,2024/2025,Premier League,Home,Arsenal,2,2,Crystal Palace,D,0
2025-05-03,Saturday,16,35,England,2024/2025,Premier League,Home,Arsenal,1,2,Bournemouth,L,-1
2025-05-11,Sunday,15,36,England,2024/2025,Premier League,Away,Arsenal,2,2,Liverpool,D,0
2025-05-18,Sunday,15,37,England,2024/2025,Premier League,Home,Arsenal,1,0,Newcastle,W,1
2025-05-25,Sunday,15,38,England,2024/2025,Premier League,Away,Arsenal,2,1,Southampton,W,1
